ID_COMISION,ID_FORMACION,NOMBRE,FECHA_INICIO_ESPERADA,FECHA_FINALIZACION_ESPERADA,FECHA_INICIO_REAL,FECHA_FINALIZACION_REAL,CANTIDAD_ALUMNOS,CANTIDAD_DOCENTES
1,39,A,2023-05-04 14:38:00,2023-09-16 14:38:00,2023-05-04 14:38:00,2023-09-16 14:38:00,26,3
2,32,B,2023-05-04 14:38:00,2023-09-30 14:38:00,2023-05-09 14:38:00,2023-09-30 14:38:00,37,4
3,73,C,2023-05-06 16:31:00,2024-01-29 16:31:00,2023-05-10 16:31:00,2024-01-27 16:31:00,32,4
4,62,D,2023-05-06 16:31:00,2024-01-29 16:31:00,2023-05-10 16:31:00,2024-02-02 16:31:00,79,3
2,44,E,2023-05-06 16:31:00,2024-01-29 16:31:00,2023-05-10 16:31:00,2024-02-02 16:31:00,27,1
6,22,F,2023-05-06 16:31:00,2024-01-29 16:31:00,2023-05-11 16:31:00,2024-02-02 16:31:00,66,2
7,62,G,2023-05-06 16:31:00,2024-01-29 16:31:00,2023-05-11 16:31:00,2024-02-02 16:31:00,20,2
8,19,H,2023-05-06 16:31:00,2024-01-29 16:31:00,2023-05-11 16:31:00,2024-02-02 16:31:00,43,2
9,77,A,2024-03-07 10:34:00,2022-02-06 10:34:00,2024-03-07 10:34:00,2022-02-06 10:34:00,22,2
10,100,B,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-07 10:27:00,2022-02-17 10:27:00,27,1
11,42,C,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-08 10:27:00,2022-02-17 10:27:00,64,1
12,33,D,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-08 10:27:00,2022-02-17 10:27:00,46,3
13,22,E,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-08 10:27:00,2022-02-17 10:27:00,20,4
14,87,F,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-08 10:27:00,2022-02-17 10:27:00,22,3
12,68,G,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-08 10:27:00,2022-02-18 10:27:00,67,2
16,22,H,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-08 10:27:00,2022-02-18 10:27:00,72,4
17,29,A,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-08 10:27:00,2022-02-18 10:27:00,22,1
18,27,B,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-11 10:27:00,2022-02-18 10:27:00,22,3
19,22,C,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-11 10:27:00,2022-02-20 10:27:00,24,4
20,23,D,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-11 10:27:00,2022-02-20 10:27:00,23,2
21,26,E,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,23,3
22,20,F,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,32,2
23,31,G,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,78,2
24,10,H,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,21,1
22,23,A,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,22,1
26,6,B,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,76,4
27,90,C,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,31,3
28,12,D,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,61,3
29,28,E,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,67,3
30,20,F,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,46,2
31,66,G,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,47,4
32,72,H,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,24,4
33,6,A,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,20,1
34,17,B,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,79,3
32,71,C,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,48,2
36,46,D,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,33,4
37,7,E,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,73,1
38,76,F,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,67,1
39,100,G,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,44,2
40,24,H,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,20,2
41,1,A,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,70,1
42,43,B,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,29,2
43,29,C,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,32,4
44,8,D,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,27,4
42,90,E,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,62,1
46,46,F,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,72,2
47,31,G,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,47,3
48,86,H,2024-03-07 10:27:00,2022-02-13 10:27:00,2024-03-12 10:27:00,2022-02-20 10:27:00,63,1
49,38,A,2024-03-07 10:27:00,2022-02-20 10:27:00,2024-03-12 10:27:00,2022-02-23 10:27:00,42,3
20,30,B,2024-03-07 10:27:00,2022-02-20 10:27:00,2024-03-12 10:27:00,2022-02-23 10:27:00,22,1
21,12,C,2024-03-07 10:27:00,2022-02-20 10:27:00,2024-03-12 10:27:00,2022-02-23 10:27:00,32,2
22,72,D,2024-03-07 10:27:00,2022-02-20 10:27:00,2024-03-12 10:27:00,2022-02-22 10:27:00,76,2
23,99,E,2024-03-07 10:27:00,2022-02-20 10:27:00,2024-03-12 10:27:00,2022-02-26 10:27:00,76,2
24,34,F,2024-03-07 10:27:00,2022-02-20 10:27:00,2024-03-12 10:27:00,2022-02-26 10:27:00,43,3
22,81,G,2024-03-11 16:19:10,2022-02-20 10:27:00,2024-03-12 10:27:00,2022-02-26 10:27:00,46,1
26,78,H,2024-03-21 18:49:28,2022-02-20 10:27:00,2024-03-21 18:49:28,2022-02-26 10:27:00,40,1
27,42,A,2024-04-10 20:23:24,2022-02-20 10:27:00,2024-04-13 20:23:24,2022-02-26 10:27:00,20,3
28,11,B,2024-04-20 10:34:22,2022-02-20 10:27:00,2024-04-21 10:34:22,2022-02-26 10:27:00,31,2
29,42,C,2024-02-11 9:40:11,2022-02-20 10:27:00,2024-02-13 9:40:11,2022-02-26 10:27:00,26,2
60,96,D,2024-02-21 17:24:27,2022-02-20 10:27:00,2024-02-24 17:24:27,2022-02-26 10:27:00,42,1
61,22,E,2024-06-02 19:08:30,2022-02-20 10:27:00,2024-06-02 19:08:30,2022-02-26 10:27:00,42,4
62,100,F,2024-06-09 8:22:29,2022-02-18 8:22:29,2024-06-11 8:22:29,2022-02-12 8:22:29,61,2
63,70,G,2024-06-13 19:47:47,2022-02-18 8:22:29,2024-06-13 19:47:47,2022-02-17 8:22:29,21,3
64,94,H,2024-06-17 18:28:19,2022-02-18 8:22:29,2024-06-17 18:28:19,2022-02-23 8:22:29,78,2
