ID_MODULO,ID_PROGRAMA,NOMBRE,ORDEN,DIFICULTAD
1,1,Fundamentos de UX y UI,1,BAJA
2,2,Business Analytics,2,MEDIA
3,3,Data Science I: Fundamentos para la Ciencia de Datos,2,MEDIA
4,4,Fundamentos de UX y UI,6,ALTA
5,5,Fundamentos del Marketing digital,1,BAJA
6,6,Fundamentos del Marketing digital,4,MEDIA
7,7,Fundamentos de UX y UI,1,BAJA
8,8,Fundamentos de UX y UI,2,MEDIA
9,9,Data Science I: Fundamentos para la Ciencia de Datos,5,ALTA
10,10,Fundamentos del Marketing digital,1,BAJA
11,11,Fundamentos del Marketing digital,2,MEDIA
12,12,Fundamentos del Marketing digital,6,ALTA
13,13,Fundamentos del Marketing digital,4,MEDIA
14,14,Fundamentos del Marketing digital,2,MEDIA
15,15,Fundamentos del Marketing digital,4,MEDIA
16,16,Fundamentos del Marketing digital,3,MEDIA
17,17,Fundamentos de UX y UI,2,MEDIA
18,18,Fundamentos del Marketing digital,6,ALTA
19,19,Fundamentos del Marketing digital,4,MEDIA
20,20,Business Analytics,3,MEDIA
21,21,Data Science I: Fundamentos para la Ciencia de Datos,2,MEDIA
22,22,Business Analytics,3,MEDIA
23,23,Business Analytics,1,BAJA
24,24,Data Science I: Fundamentos para la Ciencia de Datos,1,BAJA
25,25,Data Science I: Fundamentos para la Ciencia de Datos,4,MEDIA
26,26,Data Science I: Fundamentos para la Ciencia de Datos,1,BAJA
27,27,Business Analytics,3,MEDIA
28,28,Business Analytics,5,ALTA
29,29,Business Analytics,3,MEDIA
30,30,Business Analytics,1,BAJA
