ID_PROGRAMA,ID_FORMACION,NOMBRE,FECHA_ALTA,FECHA_BAJA
1,1,Programa de Desarrollo web,2023-03-08 09:00:00,
2,2,Programa de Java Script,2023-03-14 16:17:29,
3,3,Programa de React Js,2023-03-21 17:51:40,
4,4,Programa de Programacion Backend I,2023-03-27 02:43:20,
5,5,Programa de Programacion Backend II,2023-04-02 04:58:42,
6,6,Programa de Programacion Backend III,2023-04-09 14:30:46,
7,7,Programa de Desarrollo de aplicaciones,2023-04-14 18:20:19,
8,8,Programa de Python,2023-04-21 04:33:34,
9,9,Programa de Testing QA manual,2023-04-28 09:04:18,
10,10,Programa de Cloud computing (AWS),2023-05-03 20:51:44,
11,11,Programa de Wordpress,2023-05-10 02:02:52,
12,12,Programa de Community manager y publicidad,2023-05-17 14:31:29,
13,13,Programa de Publicidad en redes,2023-05-22 21:16:48,
14,14,Programa de Growth marketing,2023-05-28 21:25:49,
15,15,Programa de Inbound marketing,2023-06-05 04:52:19,
16,16,Programa de Contenido para redes sociales,2023-06-10 06:35:31,
17,17,Programa de Copywriting,2023-06-16 14:43:12,
18,18,Programa de Fundamentos del marketing digital,2023-06-23 17:07:35,
19,19,Programa de Google Ads,2023-06-29 02:48:40,
20,20,Programa de Branding,2023-07-05 05:54:14,
21,21,Programa de Fotografia para RRSS,2023-07-12 16:16:30,
22,22,Programa de Data analytics,2023-07-17 20:56:15,
23,23,Programa de Excel,2023-07-24 07:59:42,
24,24,Programa de Data science I,2023-07-31 13:19:51,
25,25,Programa de Data science II,2023-08-06 01:57:29,
26,26,Programa de Data science III,2023-08-12 07:58:49,
27,27,Programa de Business analytics,2023-08-19 08:16:51,
28,28,Programa de SQL,2023-08-24 15:52:22,
29,29,Programa de Power BI,2023-08-30 17:44:35,
30,30,Programa de Looker studio,2023-09-07 02:01:17,
