ID_PROGRAMA,ID_FORMACION,NOMBRE,FECHA_ALTA,FECHA_BAJA
1,1, Desarrollo web,2023-03-08 9:00:00,
2,2, Java Script,2023-03-14 16:17:29,
3,3, React Js,2023-03-21 17:51:40,
4,4, Programacion Backend I,2023-03-27 2:43:20,
5,5, Programacion Backend II,2023-04-02 4:58:42,
6,6, Programacion Backend III,2023-04-09 14:30:46,
7,7, Desarrollo de aplicaciones,2023-04-14 18:20:19,
8,8, Python,2023-04-21 4:33:34,
9,9, Testing QA manual,2023-04-28 9:04:18,
10,10, Cloud computing (AWS),2023-05-03 20:51:44,
11,11, Wordpress,2023-05-10 2:02:52,
12,12, Community manager y publicidad,2023-05-17 14:31:29,
13,13, Publicidad en redes,2023-05-22 21:16:48,
14,14, Growth marketing,2023-05-28 21:25:49,
15,15, Inbound marketing,2023-06-05 4:52:19,
16,16, Contenido para redes sociales,2023-06-10 6:35:31,
17,17, Copywriting,2023-06-16 14:43:12,
18,18, Fundamentos del marketing digital,2023-06-23 17:07:35,
19,19, Google Ads,2023-06-29 2:48:40,
20,20, Branding,2023-07-05 5:54:14,
21,21, Fotografia para RRSS,2023-07-12 16:16:30,
22,22, Data analytics,2023-07-17 20:56:15,
23,23, Excel,2023-07-24 7:59:42,
24,24, Data science I,2023-07-31 13:19:51,
25,25, Data science II,2023-08-06 1:57:29,
26,26, Data science III,2023-08-12 7:58:49,
27,27, Business analytics,2023-08-19 8:16:51,
28,28, SQL,2023-08-24 15:52:22,
29,29, Power BI,2023-08-30 17:44:35,
30,30, Looker studio,2023-09-07 2:01:17,
